[⿰忄厥]丁	撅丁
噤嘇	噤㾕
噤瘮	噤㾕
噾腹	窨付
嚮來	向來
嚲剝	包彈
囈掙	癡掙
囊	囊揣
囊揣	囊揣
四星	四星
因而	因而
圈䙡	圈圚
圈圍	圈圚
圈圚	圈圚
圈樻	圈圚
圈繢	圈圚
團	團
團剝	包彈
圚	圈圚
在	在
在處	在處
地	地
坐中	坐來（一）
坐來（一）	坐來（一）
坐來（三）	坐來（三）
坐來（二）	坐來（二）
坐斷	坐斷
坐間	坐來（二）
坐（一）	坐（一）
坐（七）	坐（七）
坐（三）	坐（三）
坐（九）	坐（九）
坐（二）	坐（二）
坐（五）	坐（五）
坐（八）	坐（八）
坐（六）	坐（六）
坐（四）	坐（四）
堂堂	堂堂
堪憐許	許（四）
堵當	賭當
壓一	壓一
多則是	多喒
多喒	多喒
多喒是	多喒
多大小	大小
多敢是	敢（二）
多管是	管
夜來	夜來
夢撒寮丁	夢撒撩丁
夢撒撩丁	夢撒撩丁
大	待（二）
大剛	大古（一）
大古（一）	大古（一）
大古（二）	大古（二）
大四八	大廝八
大四至	大廝八
大嫂	大嫂
大小	大小
大小大	大小
大岡	大古（二）
大底	大底
大廝倂	大廝八
大廝八	大廝八
大廝把	大廝八
大故	大古（二）
大生	生（二）
大綱	大古（二）
大走	大走
大都	都來
大都來	都來
天天	天天
天道	天道
太生	生（二）
夭饒	饒（四）
央	央及
央及	央及
奈	奈何
奈何	奈何
奈何許	許（四）
奈向	向（二）
奚幸	傒倖
好住	好住
好去	好去
好在	好在
好打	好歹
好歹	好歹
如今	卽今
如何向	向（二）
如何許	許（四）
如許	許（二）
妖饒	饒（四）
妻夫	妻夫
始（一）	始（一）
始（二）	始（二）
娘	娘
嬌饒	饒（四）
子弟	子弟
子甚麽	作麽
子箇	則箇
子麽	作麽
子（一）	子（一）
子（二）	子（二）
存濟	存濟
學	學
定害	定害
定（一）	定（一）
定（二）	定（二）
家（一）	家（一）
家（二）	家（二）
容易	容易
寃家	寃家
寧奈	奈
寧耐	奈
寧許	許（二）
寧馨	寧馨
寱掙	癡掙
尀耐	耐（一）
將息	將息
將（一）	將（一）
將（二）	將（二）
尋俗	尋俗
對門	對門
小可	可（九）
小可如	小可如
少是末	少甚麽
少甚麽	少甚麽
尖新	尖新
尤	尤殢
尤殢	尤殢
峭	誚
川	川
左	佐
左使	佐
左右	左右
左猜	佐
差（一）	差（一）
差（二）	差（二）
巴臂	巴鼻
巴避	巴鼻
巴鼻	巴鼻
常俗	尋俗
平川	川
年時	年時
幸	幸
幸是	幸
幸有	幸
幸自	幸
幺篇	幺篇
幾	幾
幾家	幾
幾樣	幾
幾般	幾
幾許	許（三）
底	根底
